Year,County,"Estimated Sales, Thousands of Gallons"
1996,Sullivan,35067
1996,Tioga,20448
1996,Tompkins,36087
1996,Ulster,79534
1996,Warren,37601
1996,Washington,19396
1996,Wayne,42893
1996,Westchester,253515
1996,Wyoming,18863
1996,Yates,9177
1996,New York City,1067582
1996,Statewide Total,5625772
1995,Albany,151496
1995,Allegany,20829
1995,Broome,106822
1995,Cattaraugus,29629
1995,Cayuga,37453
1995,Chautauqua,48124
1995,Chemung,35433
1995,Chenango,22909
1995,Clinton,40409
1995,Columbia,35553
1995,Cortland,27441
1995,Delaware,17873
1995,Dutchess,103968
1995,Erie,388960
1995,Essex,16609
1995,Franklin,16054
1995,Fulton,21099
1995,Genesee,44469
1995,Greene,27393
1995,Hamilton,3215
1995,Herkimer,30516
1995,Jefferson,48636
1995,Lewis,11513
1995,Livingston,31575
1995,Madison,23824
1995,Monroe,309842
1995,Montgomery,32495
1995,Nassau,568006
1995,Niagara,71566
1995,Oneida,108442
1995,Onondaga,188941
1995,Ontario,53916
1995,Orange,135332
1995,Orleans,16304
1995,Oswego,57796
1995,Otsego,27592
1995,Putnam,36185
1995,Rensselaer,60737
1995,Rockland,57282
1995,St. Lawrence,39902
1995,Saratoga,82282
1995,Schenectady,61303
1995,Schoharie,12832
1995,Schuyler,6604
1995,Seneca,14832
1995,Steuben,49003
1995,Suffolk,674864
1995,Sullivan,35809
1995,Tioga,21200
1995,Tompkins,36874
1995,Ulster,78646
1995,Warren,35584
1995,Washington,19101
1995,Wayne,43272
1995,Westchester,257127
1995,Wyoming,18050
1995,Yates,8006
1995,New York City,1104719
1995,Statewide Total,5666246
