Year,County,"Estimated Sales, Thousands of Gallons"
2012,Columbia,33185
2012,Cortland,24530
2012,Delaware,20706
2012,Dutchess,111016
2012,Erie,339391
2012,Essex,16502
2012,Franklin,16879
2012,Fulton,22308
2012,Genesee,50997
2012,Greene,25369
2012,Hamilton,2210
2012,Herkimer,28384
2012,Jefferson,58525
2012,Lewis,10728
2012,Livingston,37421
2012,Madison,19006
2012,Monroe,280692
2012,Montgomery,37296
2012,Nassau,493532
2012,Niagara,74715
2012,Oneida,93529
2012,Onondaga,230934
2012,Ontario,63340
2012,Orange,169837
2012,Orleans,11440
2012,Oswego,52459
2012,Otsego,29886
2012,Putnam,45606
2012,Rensselaer,69382
2012,Rockland,51405
2012,St. Lawrence,34032
2012,Saratoga,117032
2012,Schenectady,70320
2012,Schoharie,13261
2012,Schuyler,8440
2012,Seneca,29858
2012,Steuben,50977
2012,Suffolk,626796
2012,Sullivan,24104
2012,Tioga,19574
2012,Tompkins,32128
2012,Ulster,91536
2012,Warren,44655
2012,Washington,16304
2012,Wayne,38449
2012,Westchester,250777
2012,Wyoming,16488
2012,Yates,7525
2012,New York City,978064
2012,Statewide Total,5424144
2011,Albany,139970
2011,Allegany,14053
2011,Broome,97457
2011,Cattaraugus,22482
2011,Cayuga,31814
2011,Chautauqua,42880
2011,Chemung,31613
2011,Chenango,21506
2011,Clinton,44969
2011,Columbia,34637
2011,Cortland,24015
2011,Delaware,21597
2011,Dutchess,116805
2011,Erie,350019
2011,Essex,17436
2011,Franklin,17648
2011,Fulton,25062
2011,Genesee,51583
2011,Greene,27005
2011,Hamilton,2484
2011,Herkimer,28505
2011,Jefferson,58131
2011,Lewis,11508
2011,Livingston,36997
2011,Madison,19546
2011,Monroe,285532
2011,Montgomery,38849
2011,Nassau,512510
2011,Niagara,76670
2011,Oneida,93858
2011,Onondaga,235518
2011,Ontario,63635
2011,Orange,171226
2011,Orleans,11508
2011,Oswego,54580
2011,Otsego,30722
2011,Putnam,45229
2011,Rensselaer,72747
2011,Rockland,51195
2011,St. Lawrence,34393
2011,Saratoga,119967
2011,Schenectady,70968
2011,Schoharie,13887
2011,Schuyler,8312
2011,Seneca,30078
2011,Steuben,52352
2011,Suffolk,606315
2011,Sullivan,24446
2011,Tioga,21549
2011,Tompkins,32822
2011,Ulster,98043
2011,Warren,46612
2011,Washington,16802
2011,Wayne,38433
2011,Westchester,258768
2011,Wyoming,16104
2011,Yates,7702
2011,New York City,1017301
2011,Statewide Total,5548356
2010,Albany,137748
2010,Allegany,16335
2010,Broome,102751
2010,Cattaraugus,23828
2010,Cayuga,37020
2010,Chautauqua,45417
2010,Chemung,34386
2010,Chenango,21913
2010,Clinton,46980
2010,Columbia,35873
2010,Cortland,24814
2010,Delaware,23527
2010,Dutchess,109669
2010,Erie,385719
2010,Essex,19555
2010,Franklin,19220
2010,Fulton,24310
2010,Genesee,55086
2010,Greene,27821
2010,Hamilton,3050
2010,Herkimer,29992
2010,Jefferson,61641
2010,Lewis,12325
2010,Livingston,36172
2010,Madison,19775
2010,Monroe,292420
2010,Montgomery,39732
2010,Nassau,497893
2010,Niagara,74298
2010,Oneida,109012
2010,Onondaga,241230
2010,Ontario,63926
2010,Orange,165375
2010,Orleans,11728
2010,Oswego,57884
2010,Otsego,32508
2010,Putnam,45563
2010,Rensselaer,76121
2010,Rockland,53822
2010,St. Lawrence,40675
2010,Saratoga,105060
2010,Schenectady,68727
2010,Schoharie,16670
2010,Schuyler,8881
2010,Seneca,20679
2010,Steuben,54417
2010,Suffolk,666099
2010,Sullivan,28062
2010,Tioga,22311
2010,Tompkins,33618
2010,Ulster,95808
2010,Warren,40658
2010,Washington,16494
2010,Wayne,39353
2010,Westchester,295570
2010,Wyoming,16824
2010,Yates,7906
2010,New York City,1087228
2010,Statewide Total,5781480
2009,Albany,137622
2009,Allegany,15128
2009,Broome,105846
2009,Cattaraugus,24429
2009,Cayuga,35287
2009,Chautauqua,45986
2009,Chemung,30210
2009,Chenango,21769
2009,Clinton,45007
2009,Columbia,35334
2009,Cortland,23866
2009,Delaware,22546
2009,Dutchess,106157
2009,Erie,381156
2009,Essex,19366
2009,Franklin,19482
2009,Fulton,26659
2009,Genesee,51817
2009,Greene,27232
2009,Hamilton,3127
2009,Herkimer,28411
2009,Jefferson,63801
2009,Lewis,11305
2009,Livingston,34510
2009,Madison,19661
2009,Monroe,288062
2009,Montgomery,42293
2009,Nassau,491570
2009,Niagara,66563
2009,Oneida,108813
2009,Onondaga,233343
2009,Ontario,57842
2009,Orange,164007
2009,Orleans,14251
2009,Oswego,56326
2009,Otsego,32756
2009,Putnam,46346
2009,Rensselaer,75503
2009,Rockland,50026
2009,St. Lawrence,39311
2009,Saratoga,102506
2009,Schenectady,64054
2009,Schoharie,14614
2009,Schuyler,9000
2009,Seneca,25028
2009,Steuben,53204
2009,Suffolk,663649
2009,Sullivan,30839
2009,Tioga,20673
2009,Tompkins,32211
2009,Ulster,91007
2009,Warren,40709
2009,Washington,17165
2009,Wayne,37990
2009,Westchester,295461
2009,Wyoming,16879
2009,Yates,7433
2009,New York City,1019417
2009,Statewide Total,5644564
2008,Albany,143362
2008,Allegany,15887
2008,Broome,111837
2008,Cattaraugus,24138
2008,Cayuga,30406
2008,Chautauqua,27932
2008,Chemung,33604
2008,Chenango,22001
2008,Clinton,47160
2008,Columbia,37524
2008,Cortland,24222
2008,Delaware,22499
2008,Dutchess,113684
2008,Erie,414448
2008,Essex,19165
2008,Franklin,19932
2008,Fulton,26282
2008,Genesee,62303
2008,Greene,28357
2008,Hamilton,1674
2008,Herkimer,28732
2008,Jefferson,40736
2008,Lewis,11301
2008,Livingston,36597
2008,Madison,18915
2008,Monroe,295797
2008,Montgomery,44011
2008,Nassau,496398
2008,Niagara,70947
2008,Oneida,73914
2008,Onondaga,200490
2008,Ontario,61800
2008,Orange,173083
2008,Orleans,14078
2008,Oswego,41871
2008,Otsego,34196
2008,Putnam,48718
2008,Rensselaer,79154
2008,Rockland,49924
2008,St. Lawrence,40035
2008,Saratoga,108792
2008,Schenectady,67906
2008,Schoharie,14138
2008,Schuyler,9207
2008,Seneca,18214
2008,Steuben,53283
2008,Suffolk,678487
2008,Sullivan,34324
2008,Tioga,20012
2008,Tompkins,33950
2008,Ulster,88753
2008,Warren,41302
2008,Washington,17221
2008,Wayne,38894
2008,Westchester,248935
2008,Wyoming,17743
2008,Yates,8064
2008,New York City,1048061
2008,Statewide Total,5634402
2007,Albany,142791
2007,Allegany,16360
2007,Broome,110535
2007,Cattaraugus,22439
2007,Cayuga,28553
2007,Chautauqua,36739
2007,Chemung,32769
2007,Chenango,22842
2007,Clinton,42684
2007,Columbia,34364
2007,Cortland,25410
2007,Delaware,22927
2007,Dutchess,113342
2007,Erie,401329
2007,Essex,19091
2007,Franklin,18607
2007,Fulton,25596
2007,Genesee,62268
2007,Greene,30227
2007,Hamilton,2312
2007,Herkimer,27593
2007,Jefferson,50995
2007,Lewis,11544
2007,Livingston,37663
2007,Madison,19993
2007,Monroe,288152
2007,Montgomery,43291
2007,Nassau,527853
2007,Niagara,68661
2007,Oneida,91200
2007,Onondaga,194965
2007,Ontario,63839
2007,Orange,169831
2007,Orleans,11945
2007,Oswego,46923
2007,Otsego,34516
2007,Putnam,48193
2007,Rensselaer,70551
2007,Rockland,42131
2007,St. Lawrence,40401
2007,Saratoga,100318
2007,Schenectady,68380
2007,Schoharie,14727
2007,Schuyler,8816
2007,Seneca,24354
2007,Steuben,51478
2007,Suffolk,705045
2007,Sullivan,36745
2007,Tioga,20148
2007,Tompkins,35576
2007,Ulster,90038
2007,Warren,40957
2007,Washington,19533
2007,Wayne,40306
2007,Westchester,270922
2007,Wyoming,16485
2007,Yates,7840
2007,New York City,1086366
2007,Statewide Total,5739459
2006,Albany,138753
2006,Allegany,17756
2006,Broome,111472
2006,Cattaraugus,23618
2006,Cayuga,33334
2006,Chautauqua,44821
2006,Chemung,31952
2006,Chenango,26227
2006,Clinton,41188
2006,Columbia,39965
2006,Cortland,26494
2006,Delaware,23860
2006,Dutchess,111982
2006,Erie,411589
2006,Essex,20804
2006,Franklin,19170
2006,Fulton,31340
2006,Genesee,60724
2006,Greene,33579
2006,Hamilton,2712
2006,Herkimer,28645
2006,Jefferson,56660
2006,Lewis,12685
2006,Livingston,40028
2006,Madison,21507
2006,Monroe,287690
2006,Montgomery,42177
2006,Nassau,511597
2006,Niagara,66969
2006,Oneida,105834
2006,Onondaga,220660
2006,Ontario,63978
2006,Orange,158940
2006,Orleans,12842
2006,Oswego,57399
2006,Otsego,35147
2006,Putnam,42478
2006,Rensselaer,66043
2006,Rockland,48178
2006,St. Lawrence,39980
2006,Saratoga,95996
2006,Schenectady,65696
2006,Schoharie,16891
2006,Schuyler,9072
2006,Seneca,26428
2006,Steuben,51084
2006,Suffolk,694634
2006,Sullivan,37440
2006,Tioga,19952
2006,Tompkins,36531
2006,Ulster,91706
2006,Warren,41367
2006,Washington,20162
2006,Wayne,41126
2006,Westchester,262300
2006,Wyoming,17848
2006,Yates,8230
2006,New York City,1051384
2006,Statewide Total,5784552
2005,Albany,152874
2005,Allegany,17990
2005,Broome,103745
2005,Cattaraugus,22619
2005,Cayuga,37166
2005,Chautauqua,52079
2005,Chemung,32105
2005,Chenango,22383
2005,Clinton,38820
2005,Columbia,38886
2005,Cortland,26261
2005,Delaware,23738
2005,Dutchess,113351
2005,Erie,355590
2005,Essex,22318
2005,Franklin,16071
2005,Fulton,22411
2005,Genesee,58757
2005,Greene,29917
2005,Hamilton,3121
2005,Herkimer,28449
2005,Jefferson,65960
2005,Lewis,13605
2005,Livingston,37292
2005,Madison,23625
2005,Monroe,278775
2005,Montgomery,39471
2005,Nassau,505979
